song_name,song_popularity
Air Castles - Original Mix,36.0
Air Maxwell,20.0
Aire,43.0
Airplane mode,58.0
Airplanes (feat. Hayley Williams),77.0
Al Fondo de Mi,49.0
Al Natural (feat. Yandel),63.0
Al Sol de Noche,0.0
Alabam,32.0
Alabama Jubilee,20.0
Alabina - Original 1996,40.0
Alakazam (feat. JME & Denzel Curry),60.0
Alarm,70.0
Alas de Papel,35.0
Albatros,56.0
Album of the Year - Freestyle,77.0
Aldrig Mer (feat. TENDER),49.0
Alejandro,62.0
Algo Bueno,39.0
Algo Contigo,59.0
Algo Musical,59.0
Alguien Canto - The Music Played,48.0
Alguna Solución,34.0
Ali Baba,33.0
Ali Bomaye,67.0
Alice,22.0
Alicia Adorada,41.0
Alien,56.0
Alien Boy,71.0
Alison,11.0
Alive,39.666666666666664
Alive (with Offset & 2 Chainz),36.0
Alive - Chris Lord-Alge Mix,60.0
Alive With The Glory Of Love,5.0
All About,52.0
All About That Bass,68.5
"All About U (ft. Nate Dogg, Snoop Dogg, Fatal & Yani Hadati)",26.0
All Along the Watchtower,78.0
All Apologies,10.0
All Day,45.0
All Day All Night (feat. Tate McRae),32.0
All Day and All of the Night,13.0
All Day and All of the Night - 2014 Remastered Version,38.0
All Eyes on Me,44.0
All Eyez On Me,78.0
All Eyez feat. Jeremih,1.0
All Falls Down,69.0
All Falls Down (feat. Juliander),83.0
All For Love,76.0
All For You,66.75
All Four Walls,58.0
All Girls Are The Same,34.0
All Hail the Void,36.0
All I Am,87.0
All I Am - Acoustic,62.0
"All I Do Is Win - Feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross",65.0
All I Ever Wanted (feat. Maysa),36.0
All I Ever Wonder,34.0
All I Need,27.0
All I Want,60.0
All In,66.0
All Is Well,27.0
All Lined Up,38.0
All Loved Up,66.0
All Mine,84.0
All Mixed Up,48.0
All My Days (feat. Darien Brockington),44.0
All My Ex's Live In Texas,56.0
All My Friends,62.0
All My Friends (feat. Tinashe & Chance the Rapper),75.0
All My Friends - Edit,46.0
All My Life,32.5
"All My Love is ""Free""",53.0
All N My Grill (feat. Big Boi),45.0
All Night,50.0
All Night - Acoustic Version,54.0
All Night Baby,36.0
All Night Dancin',36.0
All Night Long,64.0
All Nighter,52.0
All Of A Sudden,73.0
All Of The Lights,74.0
All On Me - Recorded at Spotify Studios NYC,53.0
All On My Mind,61.0
All Over You,70.0
All Right,53.0
All Right Now,52.0
All Shook Up,64.0
All Souled Out,53.0
All Star,69.0
All That Love Is,21.0
All That She Wants,39.5
All The Pretty Girls,69.0
All The Small Things,80.0
All The Stars (with SZA),73.0
All The Things She Said - Original Album Version (Edited),16.0
All The Way,7.0
All The Way Up (Remix),68.0
All Thee Above (feat. Kevin Gates),51.5
All They Wanna Be,63.0
All Things Must Pass,59.0
All This Love,74.0
All Three Eyes,34.0
All Time Low,74.0
All To Myself,72.0
All We Ever Knew,69.0
All We Ever Knew - Recorded at Spotify Studios NYC,55.0
All We Got (feat. Kanye West & Chicago Children's Choir),69.0
All Your Love,65.0
All in My Feelings,0.0
All of Me,85.0
All of Me (Tiësto's Birthday Treatment Remix) - Radio Edit,40.0
All or Nothing,55.0
All the Beds I've Made (Acoustic),62.0
All the Juice,40.0
All the Juice 2,30.0
All the Things,39.0
All the Trees of the Field Will Clap Their Hands,58.0
All the Way,39.0
All the Way from Memphis,44.0
All the Young Dudes,65.0
Allez Allez - Original Mix,29.0
Alma Sebosa,52.0
Almost Forgot,54.0
Almost Like Praying (feat. Artists for Puerto Rico),53.0
Almost Like Praying (feat. Artists for Puerto Rico) - Salsa Remix,36.0
Almost Love,70.0
Almost Over You,0.0
Aloha,55.0
Alone,54.5
Alone (Calvin Harris Remix) (Feat. Stefflon Don),75.0
Alone Again,60.0
Alone In A Room,70.0
Alright,50.833333333333336
Alright - Jesse Slayter Remix,41.0
Always,58.0
Always Been You,51.0
Always Late (With Your Kisses),27.0
Always Like This,27.0
Always Remember Us This Way,79.0
Always Wonder,56.0
Alwayz Into Somethin',20.0
Aléjate de Mí,44.0
Am I Losing You,39.0
Am I Wrong,75.0
Amadeus,61.0
Amame en Camara Lenta,45.0
Amante Bandido,61.0
Amar Amei,70.0
Amazing,46.0
Amber,69.0
Ambitionz Az A Ridah,64.66666666666667
Amen,51.0
American Beauty,38.0
American Dream,49.0
"American Dream (feat. J. Cole, Kendrick Lamar)",62.0
American Idiot,73.0
American Made,47.0
American Pie,71.5
American Woman - Remastered,65.0
Amiga,45.0
Amiga mía,68.0
Amigo,43.0
Amigo Mío,44.0
Amigos Con Derechos,90.0
Amor (Ft. Mon Laferte) - Mtv Unplugged,74.0
Amor De Papel,61.0
Amor Eterno,59.0
Amor Gitano,53.0
Amor Narcótico,18.0
Amor Platónico,43.0
Amor Querido,37.0
Amor de Mis Amores,51.0
Amor de Siempre - Mariachi Version,58.0
Amor y Control,56.0
Amore e Capoeira,80.0
Amores Como el Nuestro,62.0
Amores Extranos,65.0
Amorzinho - Piano Version,65.0
Amos Moses,50.0
Amsterdam - Recorded at Spotify Studios NYC,67.0
Amárrame,29.0
Anaconda,66.0
Anaheim,54.0
Analog,55.0
Anarchist,61.0
Anarchy In The U.K.,54.0
Anchor,69.0
And Along Came the Rain,60.0
And Also I'm Really Scared,48.0
And Dat,41.0
Andamos En El Ruedo,63.0
Androgynous,52.0
Andromeda (feat. DRAM),67.0
Anemone,42.5
Angel Down,16.0
Angel Down - Work Tape,14.0
Angel of Small Death and the Codeine Scene - Live From Spotify London,51.0
Angels,31.5
Anhelo,31.0
Animal,61.5
Animals,5.0
Animals - Victor Niglio & Martin Garrix Festival Trap Mix,47.0
Anne Marie,22.0
Anoche Soñe,0.0
"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",17.0
"Another Brick in the Wall, Pt. 1",63.0
Another Chance (Don Diablo Edit),64.0
Another Dimension,2.0
Another Girl Another Planet,49.0
Another Life,57.0
Another Man,40.0
Another One Bites The Dust - Remastered 2011,77.0
Another Place - Radio Edit,37.0
Another You,62.0
Ansiedad,42.0
Answer,33.0
Answers,0.0
Answers Within - Focus Version,41.0
Ante Up (Robbin Hoodz Theory),59.5
Anthem,38.666666666666664
Anthem Part Two,61.0
Any Man Of Mine,67.0
Any Way You Want It,67.33333333333333
"Any Way You Want It (World Championship Medley) - From ""Pitch Perfect 2"" Soundtrack",47.0
Anybody (feat. Nicki Minaj),75.0
Anyone Else,54.0
Anything Like Her (feat. Tiffi),58.0
Anytime - Remastered,26.0
Anyway,50.0
Anywhere,73.0
Anywhere - 2016 Remastered,41.0
Aoyama Bochi,66.0
Aparentemente,52.0
Apologize,34.0
Apparent Lushness,47.0
Applause,73.0
Apple Pie,53.0
Apple Pie Bed,46.0
Apply Some Pressure,61.0
Aprende a Querer,20.0
Aprendimos,8.0
April,46.0
Aqua skies,53.0
Aqualung,64.0
Aquel Lugar,63.0
Aquellos Ojos Verdes,45.0
Aqueous Transmission,55.0
Aqui No Queda Nada,25.0
Aquél Viejo Motel,51.0
Aquí Me Tienes,41.0
Arabeat - Deep House Remix,23.0
"Archie, Marry Me",50.0
Arde Santiago,0.0
Are We Faded - Machinedrum Juke-Out Remix,24.0
Are You Gonna Be My Girl,76.0
Are You Gonna Go My Way,75.0
Are You Gonna' Waste My Time?,0.0
Are You High?,51.0
Are You Ready,72.0
Are You Ready For Love - '79 Version Radio Edit,60.0
Are You with Me - Dimaro Remix,39.0
Are You with Me Now?,43.0
Are the Good Times Really Over (I Wish a Buck Was Still Silver),54.0
Argonauts,49.0
Aries (YuGo) Part 2 (with Rae Sremmurd & Big Sean feat. Quavo & Pharrell),34.0
Arizona,50.0
Armed And Ready - 2008 Remastered Version,4.0
Arms,70.0
Army Arrangement,23.0
Around Me,23.0
Around Midnight,49.0
Around The World,66.33333333333333
Arouse,54.0
Arrecotin Arrecotan,30.0
Arregaçada / U Can't Touch This,46.0
Arrepentida,52.0
Arrows (feat. Dawn Golden),46.0
Arsonist's Lullabye,64.0
Arthur's Theme (Best That You Can Do) - Remastered Version,69.0
As I Sleep (feat. Charlee),60.0
As If It's Your Last,78.0
As Time Goes By,58.0
As U Wave,46.0
As We Ran,58.0
Asesina,90.0
Asi Fue,55.0
Asia Minor,23.0
Asking For A Friend,73.0
Asleep In My Arms,57.0
Asos Model Crush,25.0
Asshole - Demo,48.0
Assurance,59.0
Astral Walker,36.0
Astronaut (Something About Your Love),56.0
Astronaut - Something About Your Love,64.0
"Astronaut P*ssy (feat. Skeme, ScHoolboy Q)",46.0
Astroworld,40.0
At Home He's a Tourist,43.0
At Least I Know,66.0
At My Front Door,37.0
At The Hop,31.0
At Twilight,54.0
At War with Love,41.0
Atento Al Lobo,41.0
Atomic Dog,45.0
Atrévete-Te-Te,74.0
Attention,49.5
Attrition,33.0
Audio - CID Remix,73.0
"Audio - with Sia, Diplo & Labrinth",84.0
Aunque Tú,40.0
Aura,50.0
Australia,42.0
Autobiografia,34.0
Automatic,7.0
Automatic (feat. DC),20.0
Autopilot,51.0
Autumn,33.0
Autumn Sweater,61.0
Autumn Town Leaves,62.0
Avalanche,65.0
Avant-Garde,34.0
Ave Que Emigra,27.0
Aventurera,65.0
Avirex & Akademiks,15.0
Awake,20.0
Away,67.0
Awesome (feat. Matt Ox),2.0
Awful Things,79.0
Ay Caramba,76.0
Ay Que Rico,1.0
Ay Yar Begoo,23.0
Ay hombre,43.0
"Ay, Mamá Inés",40.0
Ayer,24.0
Ayer Y Hoy,48.0
Azucar,1.0
"Azucar, Azucar",35.0
"Azukita (Steve Aoki, Daddy Yankee, Play-N-Skillz & Elvis Crespo)",81.0
Azúcar,53.0
Azúcar Amargo,55.0
B Cool (feat. Melanie Faye),60.0
B The 1 4 U - Remix,42.0
B.A.G.,47.0
B.I.D,6.0
B.O.,59.0
B.O.B.,62.0
B.T.M.F. - Bounce to My Face,59.0
B5 [untitled] but i loved you,40.0
BACK ON MY SH*T,67.0
BAD FOR THE SOUL,42.0
BAE,60.0
BEBE,95.0
BERLIN,73.0
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",88.0
BIG LOVE,73.0
BINGBIAN病变,49.0
BINGBONG,36.0
BISC049: So Clear,26.0
BLACK BALLOONS | 13LACK 13ALLOONZ [FEAT. TWELVE'LEN & GOLDLINK | TWELVE'LEN + GOLDL1NK],71.0
BLACKJACK,69.0
BLE$$,33.0
BLEACH,76.0
BLUE,36.0
BO$$,11.0
BOOM,14.0
BOOM - Snavs Remix,58.0
BOOMBAYAH,77.0
BOSS - Radio Edit,56.0
BRAVE,65.0
BUBBLE GUM,72.0
BUTTERFLY EFFECT,60.0
BYF,56.0
Baba,52.0
Baba O'Riley,75.0
Baba O'Riley (Radio Edit),35.0
Babalao,28.0
Babarabatiri,0.0
Baby,50.333333333333336
Baby - Radio Edit,3.0
Baby Boy,69.0
Baby Britain,52.0
Baby Can I Hold You,70.0
Baby Got Back,41.5
Baby Hold On,57.0
Baby I Lied,37.0
Baby I'm Yours,4.0
Baby It's You,36.0
Baby Likes To Rock It,48.0
Baby Love,42.0
Baby Outlaw,18.0
Baby Please,58.0
Baby Shark,79.0
Baby When The Light,4.0
"Baby, I Love Your Way",73.0
BabyWipe,4.0
Bacc To The Basics,63.0
Bachata Rosa,18.0
Back,55.0
Back & Forth,81.0
Back 2 U,59.0
Back Again,56.0
Back From the Dead,62.0
Back Goin Brazy (feat. Future),40.0
Back In Brazil,68.0
Back In The U.S.S.R. - 2018 Mix,61.0
Back In Your Heart,67.0
Back It Up,30.0
Back Of My Hand,31.0
Back Seat,22.0
Back To Back,60.5
Back To Black,67.33333333333333
Back To Reality,29.0
Back To The Crib,44.0
Back To The Hotel,55.0
Back To You,45.333333333333336
Back To You - Joey Pecoraro Remix,66.0
Back To You - Riton & Kah-Lo Remix,49.0
Back Together,65.0
Back Up Kid,11.0
Back for More,0.0
Back to Autumn,69.0
Back to You,12.0
Back to You (feat. Bebe Rexha & Digital Farm Animals),79.0
Backbone,17.0
Backbreaker,54.0
Backin' It Up (feat. Cardi B),78.0
Backseat Falling,36.0
Backstreets,49.0
Bad,72.0
Bad (feat. Vassy) - Radio Edit,53.0
Bad At Love,81.0
Bad At Love - Recorded at Sound Stage Studios Nashville,66.0
Bad Bitch (feat. Ty Dolla $ign),72.0
Bad Boy,76.0
Bad Breath,28.0
Bad Company,72.0
Bad Day,62.5
Bad Girls,9.0
Bad Habit,9.0
Bad Habits,39.0
Bad Liar,78.0
Bad Listener,55.0
Bad Loves Company,41.0
Bad Medicine,67.0
Bad Moon Rising,71.0
Bad News,52.0
Bad Romance,55.2
Bad Self Portraits,2.0
Bad Vibes Forever,39.0
Bad Vibrations,60.0
Bad and Boujee (feat. Lil Uzi Vert),79.0
Bad for Me,48.0
Badman Riddim (Jump) - Radio Edit,6.0
Bag,30.5
"Bag Of Money (feat. Rick Ross, Meek Mill & T-Pain)",48.0
Baghdad Bushes,47.0
Bahar,29.0
"Baila - from the film ""Music of the Heart""",39.0
Baila Casanova,43.0
Baila Morena - Original Reggaeton Mix,67.0
Baila como hombre,51.0
Bailamos - Wild Wild West/Soundtrack Version,58.0
Bailando,10.0
Bailando - Spanish Version,71.0
Bailando Como Mono,46.0
Bailando Todo Se Olvida,0.0
Bailando por el Mundo,63.0
Bailar,66.0
"Bailar Bien, Bailar Mal",51.0
Baile Mi Mambo,24.0
Bailemos,19.0
Bajen Pa' Aca,58.0
Bajito,60.0
Bak Pak,54.0
Balance,54.0
Balenciaga,76.0
Balenciaga Challenge (feat. Offset),78.0
Ball And Chain,37.0
Ball For Me (feat. Nicki Minaj),86.0
Ball Out (feat. ALLBLACK),49.0
Ballad Of Forty Dollars,32.0
Ballad of a Teenage Queen,49.0
Ballad of the Dying Man,52.0
Baller Alert (feat. Kash Doll),47.0
Ballin,55.0
Bambi,65.0
Bambini,15.0
Bamboleo,54.0
Banana Clip - Spanish Version,57.0
Banana Papaya,56.0
Band On The Run - Remastered 2010,50.0
Band of Gypsies - Edit,56.0
Bandera,22.0
Bandera Blanca,26.0
Bandit,56.0
Bands,43.0
"Bands (feat. Ohgeesy, Fenix Flexin & Master Kato)",75.0
"Bands on Me (feat. Blac Youngsta, A Boogie Wit Da Hoodie & Teejay3k)",61.0
Bang,8.5
Bang Bang,51.0
Bang Bang - 3LAU Remix,8.0
Bang Bang - Hard Trap Beat Mix,33.0
Bang Boom,33.0
Bang a Gong (Get It On) - Remastered Version,62.0
Banged Up (feat. Mr. Capone-E),41.0
Banging (feat. Mozzy),48.0
Bank Account,50.0
Bank Roll (feat. YBN Nahmir),45.0
Bankroll,47.0
Banquet,60.0
Bap U,64.0
Barbara Ann,2.0
Barbie Dreams,79.6
Barbie Girl,63.0
Barbra Streisand,47.0
Barely Breathing,61.0
Bark at the Moon,65.0
Barracuda,64.0
Barstool Mountain,24.0
Bartender's Blues,28.0
Bartier Cardi (feat. 21 Savage),37.0
Basement,36.0
Bashment Ting,53.0
Basinskitarian,43.0
Basket Case,81.0
Bassment Jazz,50.0
Bassride,62.0
Basta De Tu Amor,34.0
Bat Country,69.0
Bat Out of Hell,52.0
Batida diferente,41.0
Battery Acid,51.0
Battle,0.0
Battle Cry,44.0
Battosai,44.0
Bayen Habeit,71.0
Baíle de Favela,52.0
Be (Intro),51.0
Be Alright,96.0
Be Faithful,56.0
Be Home Soon,38.0
Be Legendary,58.0
Be Like That (Remix),45.0
Be Man Nagoo Dooset Daram,23.0
Be Mine,75.0
Be My Baby,60.0
Be My Husband,47.0
Be Real,65.0
Be Right Here,72.0
Be Right There,10.0
Be Somebody (feat. Kiiara),55.5
Be The One,75.0
Be Your Friend,44.0
Be Your Man,28.0
Be-Bop-A-Lula,48.5
Beacon of Faith,34.0
Beads,4.0
Beast,62.0
Beast Of Burden - Remastered,52.5
Beastmode,61.0
Beat Bop,35.0
Beat Drop,22.0
Beat It,21.0
Beat It - Single Version,71.66666666666667
Beat The Odds (feat. YFN Lucci),63.0
Beat of My Drum,7.0
Beating Heart Baby,55.0
Beats Knockin (feat. Fly Boi Keno),61.0
Beautiful,52.0
Beautiful (feat. Camila Cabello),94.0
Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,64.0
Beautiful Crazy (feat. Leon Bridges) - Live,60.0
Beautiful Girl,45.333333333333336
Beautiful Girl - Tube & Berger Remix,24.0
Beautiful Girls,43.5
Beautiful Heartbeat,44.0
Beautiful Hell,52.0
Beautiful Life,46.5
Beautiful Ones (Remastered),52.0
Beautiful Spring,57.0
Beautiful Undone,43.0
Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra),59.0
Bebey (feat. Giggs) [SN1 Road Mix],62.0
Bebochicochuchoturo,34.0
Because I Love You,2.0
Because The Night [MTV Unplugged Version],61.0
Because of You,75.0
Become a Machine,44.0
Becoming the Bull,53.0
Bed (feat. Ariana Grande),83.0
Beds Are Burning - Remastered,66.0
Bee-Sting,63.0
Beechwood,30.0
Been Calling,60.0
Been Hot (feat. O.T. Genasis),47.0
Been There Done That (feat. Tove Styrke),74.0
Before He Cheats,44.5
Before I Knew What Love Was,50.0
Before You,42.0
Before You Get a Boyfriend.,57.0
Begin (feat. Wales),64.0
Beginnings,59.0
Behind (feat. Fiora),62.0
Beige,54.5
Being Boiled - Fast Version / 2003 Digital Remaster,43.0
Bela Lugosi's Dead,55.0
Believe,71.0
Believe - Radio Edit,40.0
Believe Me,40.0
Believer,40.0
Bella,53.5
Bella Ciao,71.0
Bella Señora,33.5
Bella ciao - HUGEL Remix,65.0
Bella y Sensual,78.0
Belong,50.5
Belong To U,44.0
Belong To You (feat. 6LACK) - Remix [Bonus Track],70.0
Bemba Colora,15.0
Bembé,33.0
Bemoon Ta Bemoonam,19.0
Bend Down Pause,50.0
Bendicion,47.0
Bendicion Mami,18.0
Bennie And The Jets - Remastered 2014,23.0
Benz Truck (гелик),78.0
Berzerk,16.0
Besame Mucho,6.25
Besitos,53.0
Beso A Beso... Dulcemente,34.5
Best,47.0
Best Day Of My Life,50.0
Best Days - Acoustic,49.0
Best Friend,27.0
Best Life,78.0
Best Part,75.0
Best Part (feat. H.E.R.),82.0
Best Part of Us,25.0
Best Years,60.0
Best for You,42.0
Best of Friends,43.0
Best of My Love,66.0
Best of You,62.0
Betray And Degrade,62.0
Betrayed,42.333333333333336
Betrayed by Light,36.0
Betta Riddim,38.0
Bette Davis Eyes - Radio Edit; 1997 Remastered Version,26.0
Better,71.8125
Better - SG Lewis x Clairo,68.0
Better Boat (feat. Mindy Smith),59.0
Better Class Of Losers,48.0
Better Days (And The Bottom Drops Out),54.0
Better Dayz,59.0
Better Give U Up,65.0
Better Life,33.0
Better Man,65.5
Better Not (feat. Wafia),80.0
Better Now,95.0
Better Off Alone,67.5
Better Off Gone,73.0
Better Off Gone (Acoustic Sessions),29.0
Better Place,40.0
Better Than This,27.0
Better Together,58.666666666666664
Better With You,68.0
Better With You in It,32.0
Better Without You,60.0
Better in Time,73.0
Betterman,34.0
Betty Boop,56.0
Beverly Hills,4.0
Beware the Dog,1.0
Beyond,73.75
