,song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
129,8 Letters,72.0,190026.0,0.649,0.607,0.478,0.0,1.0,0.0928,-5.702000000000001,0.0,0.031,88.979,4.0,0.255
130,8 Letters - R3HAB Remix,56.0,132232.0,0.24,0.638,0.708,0.0,1.0,0.311,-5.001,0.0,0.0421,103.16,4.0,0.5820000000000001
131,8 Out Of 10,58.0,195720.0,0.1639999999999999,0.534,0.684,0.0,11.0,0.499,-7.874,0.0,0.7170000000000001,170.416,4.0,0.338
132,808,49.0,154921.0,0.00038,0.73,0.969,0.179,1.0,0.159,-4.34,1.0,0.118,127.968,4.0,0.259
133,86 (feat. Cuban Doll & ALLBLACK),46.0,189230.0,0.0356,0.904,0.68,0.0,10.0,0.311,-8.265,0.0,0.273,104.095,4.0,0.517
134,9 Times Out Of 10,41.0,185517.0,0.613,0.7929999999999999,0.639,0.0,9.0,0.108,-6.574,0.0,0.38,97.199,4.0,0.78
136,9.13,26.0,55720.0,0.975,0.289,0.451,0.942,2.0,0.222,-15.013,1.0,0.0538,131.72,3.0,0.59
137,90's Country,70.0,172133.0,0.163,0.738,0.718,0.0,1.0,0.207,-5.777,0.0,0.0414,125.047,4.0,0.685
138,90s Better,50.0,168000.0,0.0702,0.7140000000000001,0.986,0.255,1.0,0.128,-2.565,1.0,0.0989,128.039,4.0,0.6779999999999999
139,91's,78.0,237013.0,0.249,0.777,0.6679999999999999,0.0,4.0,0.0778,-8.837,0.0,0.107,103.036,4.0,0.243
140,911,56.0,259346.0,0.243,0.72,0.6659999999999999,5.79e-06,7.0,0.0872,-9.162,1.0,0.227,87.024,4.0,0.7070000000000001
142,96 Tears,30.0,177426.0,0.0586,0.68,0.507,6.49e-06,7.0,0.0754,-5.928999999999999,1.0,0.0336,123.47,4.0,0.8540000000000001
143,97,54.0,121890.0,0.223,0.645,0.165,0.8029999999999999,3.0,0.1639999999999999,-19.347,0.0,0.1639999999999999,80.367,4.0,0.843
144,98,46.0,251560.0,0.175,0.923,0.498,0.0,6.0,0.0545,-8.363,0.0,0.364,139.032,4.0,0.8490000000000001
145,99 Luftballons,65.0,232233.0,0.09025,0.551,0.4525,3.66e-06,4.0,0.115,-11.479,1.0,0.0514499999999999,144.8695,4.0,0.5835
147,99 Problems,35.0,186446.0,0.02176,0.5055000000000001,0.756,1.965e-05,7.5,0.06665,-4.3335,0.5,0.2279,126.0105,4.0,0.5505
148,9Am,46.0,252024.0,0.0113,0.527,0.914,0.908,7.0,0.0933,-3.423,1.0,0.0475,127.957,4.0,0.522
149,9mm Goes Bang,45.0,257223.0,0.134,0.779,0.6409999999999999,8.19e-06,2.0,0.0831,-11.228,1.0,0.158,164.976,4.0,0.885
150,A Boy Named Sue - Live Version,47.0,225266.0,0.758,0.688,0.445,0.0,10.0,0.71,-11.974,1.0,0.198,101.636,4.0,0.92
151,A Catalogue Of Afternoons,72.0,110880.0,0.996,0.124,0.0924,0.848,11.0,0.0935,-31.726,1.0,0.0412,205.999,5.0,0.135
152,A Change Is Gonna Come,65.0,191160.0,0.76,0.212,0.42,0.0,10.0,0.307,-9.919,1.0,0.0344,169.555,3.0,0.493
153,A Change Is Gonna Come - Recorded At Spotify Studios NYC,50.0,255320.0,0.633,0.464,0.162,0.0,7.0,0.0943,-11.478,0.0,0.0325,136.013,3.0,0.346
154,A Clear Mind,68.0,173696.0,0.992,0.268,0.0058,0.929,10.0,0.124,-31.607,1.0,0.0466,69.709,3.0,0.126
155,A Crime To Remember,61.0,202761.0,0.011,0.551,0.914,6.09e-05,7.0,0.321,-4.147,0.0,0.0934,129.803,4.0,0.419
156,A Day In The Life - Remastered,27.0,337413.0,0.29,0.364,0.457,0.000106,4.0,0.922,-14.162,0.0,0.0675,163.219,4.0,0.175
157,A Design for Life - Remastered,59.0,257640.0,0.0008269999999999,0.184,0.841,4.34e-05,0.0,0.0422,-4.723,1.0,0.0468,88.225,4.0,0.348
158,A Dream of You and Me,58.0,239306.0,0.4320000000000001,0.691,0.937,0.0546,10.0,0.102,-4.123,1.0,0.0391,136.995,4.0,0.8240000000000001
159,A Drip Like This,43.0,159466.0,0.0138,0.778,0.7340000000000001,0.000128,1.0,0.31,-7.786,0.0,0.208,81.498,4.0,0.613
160,A Drop In The Ocean,52.0,293647.0,0.463,0.199,0.119,0.894,0.0,0.237,-21.529,1.0,0.0388,110.848,1.0,0.063
161,A Fool In Love,43.0,160626.0,0.588,0.615,0.479,0.000277,7.0,0.272,-8.429,1.0,0.0644,127.04,4.0,0.7879999999999999
164,A Gangster's Wife,37.0,229640.0,0.429,0.8220000000000001,0.59,0.0,6.0,0.102,-8.005,0.0,0.18,89.995,4.0,0.383
165,A Good Night,73.0,203453.0,0.104,0.53,0.7070000000000001,0.0,10.0,0.105,-5.516,1.0,0.203,109.827,4.0,0.696
166,A Horse with No Name,77.0,252239.0,0.6859999999999999,0.654,0.506,0.0155,11.0,0.155,-17.18,0.0,0.0535,123.17900000000002,4.0,0.831
167,A Letter to My Younger Self,58.0,141940.0,0.978,0.619,0.378,0.0023,1.0,0.103,-9.343,0.0,0.0308,91.91,4.0,0.677
168,A Little Bit Dangerous,33.0,194640.0,0.00213,0.583,0.685,0.0,10.0,0.0475,-5.422999999999999,0.0,0.0274,89.006,4.0,0.381
169,A Little Less Talk And A Lot More Action,50.0,170546.0,0.282,0.755,0.8079999999999999,2.02e-06,9.0,0.11,-7.367000000000001,1.0,0.0374,124.976,4.0,0.933
171,A Little Respect - 2009 Remastered Version,70.0,213986.0,0.0299,0.607,0.784,3.85e-06,0.0,0.288,-7.962999999999999,1.0,0.0258,113.804,4.0,0.622
172,A Long December,59.0,295066.0,0.469,0.398,0.591,0.000588,5.0,0.337,-6.925,1.0,0.0298,142.336,4.0,0.425
173,A Message to You and Myself,49.0,206393.0,0.965,0.737,0.201,0.24,1.0,0.101,-15.463,1.0,0.0787,119.993,4.0,0.158
174,A Milli,77.0,221840.0,0.0527,0.679,0.684,0.000895,6.0,0.177,-8.559,1.0,0.278,151.748,4.0,0.755
175,A Million,48.0,173875.0,0.501,0.912,0.295,0.000599,9.0,0.0535,-9.822,0.0,0.0607,111.552,4.0,0.8029999999999999
176,A Million Lights,50.0,216333.0,0.132,0.502,0.64,0.00338,7.0,0.125,-5.964,1.0,0.0257,110.034,4.0,0.125
178,A New England,53.0,107949.0,0.846,0.5770000000000001,0.544,0.0,5.0,0.0816,-6.832000000000002,1.0,0.0311,83.53,4.0,0.725
179,A Painting in Paris,54.0,213626.0,0.0828,0.6990000000000001,0.7020000000000001,0.00147,6.0,0.0667,-7.955,0.0,0.0642,75.012,4.0,0.608
180,"A Petal Here, a Petal There",50.0,206493.0,0.529,0.452,0.698,0.000646,7.0,0.0687,-7.903,1.0,0.0302,141.53,4.0,0.563
181,A Reality,39.0,236479.0,0.00188,0.447,0.991,0.8590000000000001,1.0,0.343,-4.261,1.0,0.072,137.998,4.0,0.263
182,A Satisfied Mind,28.0,166040.0,0.945,0.732,0.243,3.85e-05,4.0,0.0955,-7.638,1.0,0.0299,115.14,3.0,0.4320000000000001
183,A Shitty Love Song,54.0,197142.0,0.946,0.763,0.146,1.44e-06,9.0,0.118,-13.375,1.0,0.0379,98.056,4.0,0.536
184,A Shot In The Arm,47.0,259800.0,0.0486,0.556,0.787,2.05e-05,2.0,0.0966,-5.006,1.0,0.0305,126.356,4.0,0.5710000000000001
185,A Simple Song,62.0,216013.0,0.87,0.613,0.199,0.000218,5.0,0.104,-16.36,1.0,0.0298,77.104,4.0,0.376
186,A Six Pack To Go,32.0,129360.0,0.489,0.67,0.413,0.00251,9.0,0.119,-14.734000000000002,1.0,0.18,165.82299999999995,4.0,0.593
187,A Sky Full of Flowers,63.0,218692.0,0.99,0.324,0.0645,0.929,6.0,0.19,-26.821,1.0,0.0436,101.942,4.0,0.0396
188,A Sky Full of Stars,63.0,267866.0,0.00622,0.545,0.675,0.00197,6.0,0.214,-6.468,1.0,0.0279,124.973,4.0,0.16
189,A Song With No Name,62.0,243042.0,0.8740000000000001,0.534,0.127,0.774,6.0,0.112,-15.385,1.0,0.0358,128.368,4.0,0.181
190,A Teenager In Love,62.0,153866.0,0.635,0.564,0.283,0.0,1.0,0.188,-13.624,1.0,0.0407,78.715,4.0,0.6779999999999999
191,A Thousand Miles,48.5,237440.0,0.321,0.507,0.8260000000000001,0.0,11.0,0.2265,-3.784,1.0,0.0375,94.849,4.0,0.3295
192,A Thousand Miles (Live Acoustic),24.0,278346.0,0.88,0.44,0.236,3.09e-05,11.0,0.108,-7.7120000000000015,1.0,0.0279,83.935,4.0,0.329
193,A Thousand Miles - Single Version,24.0,237920.0,0.264,0.5660000000000001,0.825,0.0,11.0,0.218,-4.504,1.0,0.0383,94.991,4.0,0.278
194,A Time of Wonder,69.0,169617.0,0.99,0.29,0.191,0.8909999999999999,4.0,0.101,-19.107,0.0,0.0377,165.53599999999997,3.0,0.219
195,A Trigger Full of Promises,47.0,228720.0,3.4899999999999995e-05,0.322,0.971,5.89e-05,7.0,0.211,-2.801,1.0,0.155,139.94,4.0,0.3229999999999999
196,A White Sport Coat (with Ray Conniff),33.0,148600.0,0.8109999999999999,0.622,0.648,0.000212,1.0,0.146,-8.825,1.0,0.0308,114.055,4.0,0.8079999999999999
197,A Whiter Shade Of Pale,67.0,248946.0,0.504,0.249,0.66,0.0026,0.0,0.0891,-6.905,1.0,0.0342,149.813,4.0,0.435
198,A Woman Like You,64.0,209786.0,0.245,0.5920000000000001,0.584,0.0,7.0,0.0862,-7.4220000000000015,1.0,0.0305,160.048,4.0,0.371
199,A donde va el amor,34.0,200867.0,0.202,0.586,0.6629999999999999,0.0,6.0,0.193,-4.085,0.0,0.0284,138.035,4.0,0.495
200,A to Z,47.0,208383.0,0.103,0.711,0.675,0.0,9.0,0.268,-7.134,0.0,0.0699,120.031,4.0,0.682
202,A-YO,23.0,207720.0,0.101,0.664,0.889,0.0,7.0,0.111,-5.675,1.0,0.155,149.955,4.0,0.927
204,ABCD (Friend Zone),67.0,168787.0,0.352,0.856,0.412,0.0,1.0,0.0873,-7.598,1.0,0.0588,140.001,4.0,0.5329999999999999
205,ADORABLE,45.0,209007.0,0.392,0.607,0.715,0.0,10.0,0.375,-4.7410000000000005,1.0,0.2,179.982,4.0,0.741
206,AFRO TRAP Part.7 (La Puissance) - Major Lazer Remix,0.0,190952.0,0.0233,0.885,0.885,1.53e-05,8.0,0.0795,-4.263999999999999,0.0,0.226,126.063,4.0,0.912
207,AFTERPRTY,36.0,205518.0,0.0264,0.639,0.8240000000000001,0.0,8.0,0.198,-6.6770000000000005,0.0,0.197,160.031,4.0,0.675
208,AGEN WIDA,33.0,199047.0,0.0114,0.784,0.913,0.00162,1.0,0.0831,-1.208,1.0,0.177,126.054,4.0,0.59
209,AKWAABA,58.0,206829.0,0.0203,0.8809999999999999,0.862,0.113,2.0,0.0638,-4.974,1.0,0.0525,123.062,4.0,0.213
210,AMERICAN GODS,43.0,203079.0,0.0128,0.515,0.8390000000000001,1.7e-06,10.0,0.0776,-4.584,1.0,0.0608,155.05,4.0,0.6829999999999999
211,AND WHAT,57.0,224571.0,0.596,0.7759999999999999,0.657,0.0,2.0,0.141,-7.186,1.0,0.339,139.746,4.0,0.507
212,APES**T,52.0,264853.0,0.016,0.698,0.7829999999999999,0.0,2.0,0.176,-6.502999999999999,1.0,0.266,160.034,4.0,0.378
