song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
1-800-273-8255,66.5,250179.75,0.5675,0.6205,0.57875,0.0,5.0,0.18625,-7.779749999999999,0.0,0.046275,100.02775,4.0,0.35624999999999996
10 2 10,26.0,202120.0,0.15,0.632,0.908,0.0,1.0,0.207,-4.499,1.0,0.1,114.003,4.0,0.258
100 Miles and Running (ft. Wale & John Lindahl),78.0,353453.0,0.556,0.8440000000000001,0.935,0.0,7.0,0.42,-3.585,1.0,0.0641,118.999,4.0,0.958
100 Shots,67.0,264818.0,0.135,0.799,0.6679999999999999,4.67e-06,8.0,0.0583,-5.244,1.0,0.249,134.005,4.0,0.153
100% (feat. Tony Sunshine),38.0,230146.0,0.0572,0.78,0.772,0.0,7.0,0.0819999999999999,-3.222,0.0,0.262,99.606,4.0,0.706
1000 (feat. T.I. & Trey Songz),41.0,254615.0,0.0118,0.64,0.602,0.0,10.0,0.192,-6.7010000000000005,0.0,0.276,82.17,4.0,0.297
1000hp,54.0,226540.0,4.36e-05,0.52,0.948,1.41e-05,6.0,0.0525,-3.951,0.0,0.0515,92.091,4.0,0.471
101,53.0,203500.0,0.0437,0.71,0.8270000000000001,1.28e-05,0.0,0.0896,-5.244,1.0,0.032,110.003,4.0,0.833
1017 (feat. Gucci Mane & Yung Mal),36.0,243252.0,0.466,0.813,0.593,0.0,1.0,0.185,-8.604,1.0,0.176,74.982,4.0,0.626
10:15 Saturday Night,37.0,223773.0,0.00366,0.6559999999999999,0.279,0.0282,0.0,0.0952,-17.282,1.0,0.13,174.1,4.0,0.325
11 Hours - Branchez Remix,69.0,156213.0,0.626,0.687,0.352,0.000151,8.0,0.133,-8.229,1.0,0.0759,122.955,4.0,0.155
123,67.0,190280.0,0.08835,0.7070000000000001,0.675,0.0,1.0,0.12,-5.577999999999999,1.0,0.1765,95.0235,4.0,0.929
1234,15.0,202907.0,5.320000000000001e-05,0.5579999999999999,0.953,0.000375,7.0,0.062,-4.705,1.0,0.0288,95.0,4.0,0.75
1412,50.0,109090.0,0.303,0.914,0.245,0.482,4.0,0.107,-9.504,0.0,0.411,87.992,4.0,0.648
1435,0.0,292373.0,0.0616,0.58,0.353,4.3e-05,0.0,0.128,-9.295,1.0,0.0265,141.987,4.0,0.242
151 Rum,77.0,156695.0,0.199,0.73,0.86,0.0018199999999999998,7.0,0.322,-3.532,1.0,0.191,129.952,4.0,0.647
16 Candles,41.0,172460.0,0.733,0.591,0.472,0.0,10.0,0.0987,-4.9060000000000015,1.0,0.0261,114.097,3.0,0.627
16 Days,36.0,234213.0,0.242,0.561,0.741,0.0,0.0,0.0874,-5.8420000000000005,1.0,0.0537,127.467,4.0,0.404
17,76.0,196489.0,0.00149,0.703,0.8320000000000001,0.127,0.0,0.0696,-7.202000000000001,0.0,0.0689,122.029,4.0,0.667
17 - 6am Remix,65.0,263887.0,0.00393,0.71,0.625,0.471,8.0,0.318,-8.331,1.0,0.0346,120.023,4.0,0.139
18,53.0,205370.0,0.877,0.483,0.305,6.78e-05,11.0,0.126,-8.15,0.0,0.268,79.458,4.0,0.273
18 And Life,60.0,231280.0,0.000384,0.457,0.794,7.26e-05,1.0,0.131,-6.624,0.0,0.0298,90.439,4.0,0.354
19 You + Me - Live Acoustic Bonus Track,51.0,221706.0,0.5710000000000001,0.416,0.422,0.0,6.0,0.161,-8.11,1.0,0.0279,150.607,3.0,0.703
1901,67.33333333333333,193110.66666666666,0.0572,0.605,0.8283333333333333,5.436666666666667e-05,0.0,0.19299999999999998,-5.390999999999999,1.0,0.04243333333333333,144.0856666666667,4.0,0.711
193rd St.,35.0,126352.0,0.00427,0.6409999999999999,0.6970000000000001,0.6779999999999999,10.0,0.289,-11.184,0.0,0.0477,122.042,4.0,0.35
1942,65.0,213333.0,0.0177,0.819,0.6375,0.0,4.0,0.10875,-5.1225000000000005,0.0,0.26,162.9355,4.0,0.8254999999999999
1950,80.16666666666667,225261.83333333334,0.6488333333333334,0.5931666666666666,0.5341666666666667,4.633333333333333e-06,4.0,0.1545,-7.057666666666665,1.0,0.10485,71.90283333333332,4.0,0.2668333333333333
1952 Vincent Black Lightning,55.0,283493.0,0.374,0.488,0.209,5.05e-06,10.0,0.103,-19.549,1.0,0.0369,120.63,4.0,0.362
1957,63.0,204213.0,0.6629999999999999,0.388,0.595,5.58e-05,1.0,0.178,-9.799,1.0,0.0325,190.043,4.0,0.596
1960 What?,22.0,747222.0,0.515,0.511,0.505,6.26e-05,3.0,0.114,-10.773,1.0,0.0421,119.292,4.0,0.622
1975,49.0,190360.0,0.6409999999999999,0.66,0.407,1.22e-05,2.0,0.0622,-8.993,1.0,0.0613,119.934,4.0,0.324
1977,42.0,204036.0,0.00448,0.6779999999999999,0.687,0.000419,2.0,0.0847,-7.206,1.0,0.0401,104.166,4.0,0.527
1979,36.5,274946.5,0.41590000000000005,0.728,0.5555000000000001,0.35600000000000004,8.0,0.08249999999999999,-9.367999999999999,1.0,0.030399999999999996,123.5025,4.0,0.588
1979 - Remastered 2012,61.5,266200.0,0.0166,0.765,0.7879999999999999,0.588,3.0,0.0513,-9.896,1.0,0.0332,126.879,4.0,0.964
1983,51.0,222560.0,0.000105,0.47,0.978,0.0,10.0,0.0994,-3.899,1.0,0.174,153.014,4.0,0.731
1985,65.5,193000.0,0.00024400000000000002,0.6065,0.8825000000000001,0.0,4.0,0.337,-4.413,1.0,0.06315,119.9645,4.0,0.878
1985 - Intro to “The Fall Off”,75.0,190176.0,0.147,0.6779999999999999,0.648,0.0,2.0,0.182,-5.892,1.0,0.445,94.336,4.0,0.635
1999,81.0,189000.0,0.0227,0.7390000000000001,0.742,1.39e-06,7.0,0.229,-4.586,1.0,0.0329,124.016,4.0,0.659
1999 WILDFIRE,75.0,251250.0,0.253,0.8109999999999999,0.57,0.0,5.0,0.148,-8.093,1.0,0.129,128.066,4.0,0.8140000000000001
1Take (Naija to London),64.0,283898.0,0.337,0.7709999999999999,0.705,0.0,8.0,0.123,-6.034,0.0,0.192,103.959,4.0,0.46
1Xtra,17.0,187000.0,0.0484,0.76,0.8640000000000001,0.0,8.0,0.118,-3.857,1.0,0.322,139.931,4.0,0.865
1am,77.0,163954.0,0.0038,0.901,0.65,0.0,2.0,0.111,-4.137,1.0,0.0981,100.298,4.0,0.295
1luv,15.0,283735.0,0.00105,0.455,0.805,0.603,11.0,0.101,-7.272,0.0,0.127,162.889,4.0,0.24
2 AM,57.0,190217.0,0.119,0.6629999999999999,0.762,0.0,0.0,0.161,-3.327,1.0,0.0435,140.04399999999998,4.0,0.321
2 MUCH (feat. 24hrs) (feat. 24hrs),67.0,182400.0,0.0657,0.642,0.933,1.04e-05,4.0,0.087,-2.887,0.0,0.0871,150.039,4.0,0.158
2 Seater (feat. Quavo & 21 Savage),72.0,158796.0,0.332,0.887,0.573,0.0,0.0,0.143,-4.633,0.0,0.251,133.026,4.0,0.237
2 The Hard Way,38.0,174813.0,0.0244,0.653,0.596,0.0,0.0,0.135,-7.608,1.0,0.238,150.00799999999995,4.0,0.145
2 Tone Drip,72.0,181538.0,0.192,0.857,0.767,0.0,5.0,0.16,-4.794,0.0,0.443,149.954,4.0,0.574
2 Vaults (feat. Lil Yachty),71.0,210000.0,0.264,0.921,0.586,0.0,8.0,0.119,-7.77,1.0,0.406,96.042,4.0,0.657
2-4-6-8 Motorway,50.0,197933.0,0.0578,0.672,0.706,7.43e-05,9.0,0.0595,-5.551,1.0,0.0779,124.782,4.0,0.6579999999999999
2002,85.66666666666667,186986.0,0.0372,0.6970000000000001,0.6829999999999999,0.0,1.0,0.1369999999999999,-2.881,0.0,0.117,96.133,4.0,0.603
2002 - KREAM Remix,59.0,163125.0,0.00104,0.7559999999999999,0.887,0.0126,6.0,0.118,-4.131,0.0,0.13,122.958,4.0,0.246
20th Century Boy - 2012 Remaster,49.0,218665.0,0.00144,0.426,0.954,0.0,9.0,0.149,-6.121,1.0,0.0474,135.30200000000002,4.0,0.721
21,54.0,194480.0,0.0586,0.501,0.9,0.0,11.0,0.218,-4.3660000000000005,1.0,0.0433,160.096,4.0,0.943
2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale - Medley,53.0,1233666.0,0.0787,0.345,0.795,0.00165,2.0,0.18,-7.44,1.0,0.108,134.141,4.0,0.189
24 Hour Party People,5.0,279959.0,0.000281,0.631,0.861,0.000276,4.0,0.0612,-8.315,0.0,0.0514,126.647,4.0,0.818
24/7,61.0,221706.0,0.00241,0.615,0.74,0.00113,7.0,0.115,-4.662,0.0,0.0754,118.957,4.0,0.219
24K Magic,76.5,225983.0,0.034,0.818,0.8029999999999999,0.0,1.0,0.153,-4.282,1.0,0.0797,106.97,4.0,0.632
25 Soldiers,54.0,287557.0,0.207,0.5329999999999999,0.8759999999999999,0.0,1.0,0.857,-4.041,1.0,0.324,76.0,4.0,0.119
2Sum,40.0,145632.0,0.00914,0.833,0.459,0.0,7.0,0.0717,-7.026,1.0,0.202,138.179,4.0,0.338
3 Nights,40.0,177666.0,0.223,0.815,0.518,0.0,7.0,0.104,-6.593999999999999,0.0,0.0897,151.891,4.0,0.877
3 x 11,43.0,219795.0,0.316,0.755,0.613,0.0,4.0,0.0935,-5.029,0.0,0.318,98.029,4.0,0.923
33 “GOD”,64.0,213000.0,0.83,0.52,0.389,0.0265,4.0,0.0937,-10.476,1.0,0.0403,133.113,4.0,0.326
3:15,76.0,167018.0,0.385,0.6509999999999999,0.654,0.0,1.0,0.181,-5.481,1.0,0.0466,141.975,4.0,0.539
3PM Coffee,31.0,125478.0,0.99,0.49,0.0921,0.954,3.0,0.108,-22.456,0.0,0.0435,101.538,4.0,0.118
4 1 Nite,45.0,205296.0,0.158,0.624,0.6779999999999999,0.0,8.0,0.376,-4.393,1.0,0.382,63.983,4.0,0.637
4 Days,62.0,190480.0,0.0423,0.8390000000000001,0.5720000000000001,0.0,10.0,0.0905,-5.312,0.0,0.0945,97.991,4.0,0.404
4 Gold Chains - (feat. Clams Casino),69.0,209106.0,0.853,0.313,0.426,0.00037,8.0,0.181,-9.049,1.0,0.0435,95.159,4.0,0.107
4 Lit,53.0,203833.0,0.0414,0.812,0.402,0.0,1.0,0.0998,-6.593999999999999,1.0,0.0697,85.044,4.0,0.261
4 Minutes (feat. Justin Timberlake & Timbaland),72.0,189693.0,0.00994,0.753,0.931,0.0069599999999999,2.0,0.234,-4.922,1.0,0.0652,113.029,4.0,0.767
4 [bump],53.0,64719.0,0.969,0.826,0.391,0.025,0.0,0.114,-10.978,1.0,0.498,79.139,4.0,0.813
40K,70.0,216842.0,0.106,0.746,0.5870000000000001,2.99e-05,7.0,0.187,-8.172,0.0,0.17,134.99200000000002,4.0,0.203
435,67.0,93840.0,0.00247,0.539,0.804,0.000185,10.0,0.463,-5.504,0.0,0.172,85.75200000000002,4.0,0.7979999999999999
44 More,27.0,188613.0,0.0717,0.818,0.5720000000000001,0.0,1.0,0.101,-7.085,1.0,0.228,139.968,4.0,0.236
47 - Remix,70.0,517809.0,0.248,0.711,0.6990000000000001,0.0,6.0,0.254,-4.891,1.0,0.193,146.016,4.0,0.376
4:21 (Con María),18.0,234500.0,0.247,0.805,0.473,0.43,7.0,0.128,-11.013,0.0,0.114,122.012,4.0,0.226
4AM In London,38.0,188664.0,0.0483,0.534,0.445,7.25e-05,7.0,0.116,-9.617,0.0,0.0351,156.01,4.0,0.0828
4EVER,71.0,159595.0,0.049,0.75,0.585,0.00552,9.0,0.155,-7.576,0.0,0.0285,102.331,4.0,0.584
4am,51.0,119870.0,0.4963,0.6114999999999999,0.49749999999999994,0.00228,5.5,0.196,-6.321,0.5,0.04255,148.0365,4.0,0.45450000000000007
4r Da Squaw,68.0,232571.0,0.532,0.667,0.523,2.12e-05,10.0,0.1369999999999999,-9.477,0.0,0.329,143.934,4.0,0.409
5 Years Time,59.0,214920.0,0.335,0.8,0.5589999999999999,0.0,0.0,0.148,-7.11,1.0,0.116,121.967,4.0,0.7879999999999999
500 Miles Away from Home,47.0,162506.0,0.659,0.519,0.374,6.88e-06,7.0,0.644,-13.115,1.0,0.0314,109.253,4.0,0.521
6 'N The Mornin',47.0,224866.0,0.00282,0.823,0.745,0.000332,5.0,0.3229999999999999,-6.6370000000000005,0.0,0.247,91.919,4.0,0.58
6 Beers,47.0,166228.0,0.178,0.64,0.843,0.0,10.0,0.0886,-6.6610000000000005,0.0,0.225,93.083,4.0,0.926
6 Degrees (feat. Fiora) - Tale Of Us Remix,17.0,473550.0,0.128,0.8009999999999999,0.472,0.381,4.0,0.103,-9.948,1.0,0.077,120.005,4.0,0.467
6 Underground,55.0,228840.0,0.0319,0.5870000000000001,0.6779999999999999,0.16,1.0,0.116,-8.651,0.0,0.0524,169.947,4.0,0.429
6:30,74.0,213000.0,0.149,0.757,0.579,0.0,1.0,0.0543,-3.827,0.0,0.0809,99.968,4.0,0.56
6am,53.0,123000.0,0.8,0.745,0.265,0.959,11.0,0.0717,-10.678,1.0,0.0708,88.477,4.0,0.422
6ix Flags,44.0,222400.0,0.0791,0.659,0.615,0.0,2.0,0.172,-9.232,1.0,0.327,149.877,4.0,0.589
7 Am Freestyle,0.0,192906.0,0.0185,0.951,0.401,0.0,0.0,0.149,-8.92,0.0,0.411,129.976,4.0,0.539
7 Days,73.0,235133.0,0.23,0.659,0.812,0.0,4.0,0.0951,-7.499,0.0,0.0487,83.01299999999998,4.0,0.888
7 Inches,35.0,206491.0,0.446,0.768,0.417,0.00561,9.0,0.335,-10.246,0.0,0.0494,97.985,4.0,0.417
7 Years,21.0,212672.5,0.5730000000000001,0.7445,0.4315,0.0,10.0,0.24425000000000002,-6.4510000000000005,1.0,0.04395,119.91499999999999,4.0,0.35
7/11,75.0,213506.0,0.0128,0.747,0.705,0.0,9.0,0.126,-5.1370000000000005,0.0,0.126,136.024,4.0,0.56
70s,49.0,164250.0,0.012,0.78,0.627,0.000347,2.0,0.106,-12.093,1.0,0.0821,111.069,4.0,0.275
745,64.0,227560.0,0.115,0.785,0.476,0.00165,1.0,0.092,-9.805,1.0,0.115,118.931,4.0,0.223
7th Inning Stretch,43.0,136500.0,0.8240000000000001,0.69,0.555,0.91,7.0,0.1689999999999999,-9.802,0.0,0.3720000000000001,160.369,4.0,0.852
8 Letters,72.0,190026.0,0.649,0.607,0.478,0.0,1.0,0.0928,-5.702000000000001,0.0,0.031,88.979,4.0,0.255
8 Letters - R3HAB Remix,56.0,132232.0,0.24,0.638,0.708,0.0,1.0,0.311,-5.001,0.0,0.0421,103.16,4.0,0.5820000000000001
8 Out Of 10,58.0,195720.0,0.1639999999999999,0.534,0.684,0.0,11.0,0.499,-7.874,0.0,0.7170000000000001,170.416,4.0,0.338
808,49.0,154921.0,0.00038,0.73,0.969,0.179,1.0,0.159,-4.34,1.0,0.118,127.968,4.0,0.259
86 (feat. Cuban Doll & ALLBLACK),46.0,189230.0,0.0356,0.904,0.68,0.0,10.0,0.311,-8.265,0.0,0.273,104.095,4.0,0.517
9 Times Out Of 10,41.0,185517.0,0.613,0.7929999999999999,0.639,0.0,9.0,0.108,-6.574,0.0,0.38,97.199,4.0,0.78
9 to 5,68.0,176038.0,0.44875,0.595,0.6997499999999999,0.002043655,6.0,0.499,-7.394,1.0,0.090275,121.038,4.0,0.67075
9.13,26.0,55720.0,0.975,0.289,0.451,0.942,2.0,0.222,-15.013,1.0,0.0538,131.72,3.0,0.59
90's Country,70.0,172133.0,0.163,0.738,0.718,0.0,1.0,0.207,-5.777,0.0,0.0414,125.047,4.0,0.685
90s Better,50.0,168000.0,0.0702,0.7140000000000001,0.986,0.255,1.0,0.128,-2.565,1.0,0.0989,128.039,4.0,0.6779999999999999
91's,78.0,237013.0,0.249,0.777,0.6679999999999999,0.0,4.0,0.0778,-8.837,0.0,0.107,103.036,4.0,0.243
911,56.0,259346.0,0.243,0.72,0.6659999999999999,5.79e-06,7.0,0.0872,-9.162,1.0,0.227,87.024,4.0,0.7070000000000001
93 'Til Infinity,67.0,286440.0,0.125,0.59,0.672,1.04e-06,1.0,0.147,-11.792,1.0,0.412,206.247,4.0,0.688
96 Tears,30.0,177426.0,0.0586,0.68,0.507,6.49e-06,7.0,0.0754,-5.928999999999999,1.0,0.0336,123.47,4.0,0.8540000000000001
97,54.0,121890.0,0.223,0.645,0.165,0.8029999999999999,3.0,0.1639999999999999,-19.347,0.0,0.1639999999999999,80.367,4.0,0.843
98,46.0,251560.0,0.175,0.923,0.498,0.0,6.0,0.0545,-8.363,0.0,0.364,139.032,4.0,0.8490000000000001
99 Luftballons,65.0,232233.0,0.09025,0.551,0.4525,3.66e-06,4.0,0.115,-11.479,1.0,0.051449999999999996,144.8695,4.0,0.5835
99 Pace,23.0,197147.0,0.0412,0.6609999999999999,0.7829999999999999,0.895,11.0,0.307,-8.987,1.0,0.0425,139.966,4.0,0.0689
99 Problems,35.0,186446.0,0.02176,0.5055000000000001,0.756,1.9649999999999997e-05,7.5,0.06665,-4.3335,0.5,0.2279,126.01050000000001,4.0,0.5505
9Am,46.0,252024.0,0.0113,0.527,0.914,0.908,7.0,0.0933,-3.423,1.0,0.0475,127.957,4.0,0.522
9mm Goes Bang,45.0,257223.0,0.134,0.779,0.6409999999999999,8.19e-06,2.0,0.0831,-11.228,1.0,0.158,164.976,4.0,0.885
A Boy Named Sue - Live Version,47.0,225266.0,0.758,0.688,0.445,0.0,10.0,0.71,-11.974,1.0,0.198,101.636,4.0,0.92
A Catalogue Of Afternoons,72.0,110880.0,0.996,0.124,0.0924,0.848,11.0,0.0935,-31.726,1.0,0.0412,205.999,5.0,0.135
A Change Is Gonna Come,65.0,191160.0,0.76,0.212,0.42,0.0,10.0,0.307,-9.919,1.0,0.0344,169.555,3.0,0.493
A Change Is Gonna Come - Recorded At Spotify Studios NYC,50.0,255320.0,0.633,0.464,0.162,0.0,7.0,0.0943,-11.478,0.0,0.0325,136.013,3.0,0.346
A Clear Mind,68.0,173696.0,0.992,0.268,0.0058,0.929,10.0,0.124,-31.607,1.0,0.0466,69.709,3.0,0.126
A Crime To Remember,61.0,202761.0,0.011,0.551,0.914,6.09e-05,7.0,0.321,-4.147,0.0,0.0934,129.803,4.0,0.419
A Day In The Life - Remastered,27.0,337413.0,0.29,0.364,0.457,0.000106,4.0,0.922,-14.162,0.0,0.0675,163.219,4.0,0.175
A Design for Life - Remastered,59.0,257640.0,0.0008269999999999,0.184,0.841,4.34e-05,0.0,0.0422,-4.723,1.0,0.0468,88.225,4.0,0.348
A Dream of You and Me,58.0,239306.0,0.4320000000000001,0.691,0.937,0.0546,10.0,0.102,-4.123,1.0,0.0391,136.995,4.0,0.8240000000000001
A Drip Like This,43.0,159466.0,0.0138,0.778,0.7340000000000001,0.000128,1.0,0.31,-7.786,0.0,0.208,81.498,4.0,0.613
A Drop In The Ocean,52.0,293647.0,0.463,0.199,0.119,0.894,0.0,0.237,-21.529,1.0,0.0388,110.848,1.0,0.063
A Fool In Love,43.0,160626.0,0.588,0.615,0.479,0.000277,7.0,0.272,-8.429,1.0,0.0644,127.04,4.0,0.7879999999999999
A Forest,60.0,354290.0,0.365,0.579,0.622,0.652,0.0,0.0955,-11.285,1.0,0.0563,163.107,4.0,0.435
A Forgotten Spot (Olvidado),57.0,346022.0,0.13,0.63,0.782,0.0,10.0,0.109,-5.517,1.0,0.174,98.152,4.0,0.29
A Gangster's Wife,37.0,229640.0,0.429,0.8220000000000001,0.59,0.0,6.0,0.102,-8.005,0.0,0.18,89.995,4.0,0.383
A Good Night,73.0,203453.0,0.104,0.53,0.7070000000000001,0.0,10.0,0.105,-5.516,1.0,0.203,109.827,4.0,0.696
A Horse with No Name,77.0,252239.0,0.6859999999999999,0.654,0.506,0.0155,11.0,0.155,-17.18,0.0,0.0535,123.17900000000002,4.0,0.831
A Letter to My Younger Self,58.0,141940.0,0.978,0.619,0.378,0.0023,1.0,0.103,-9.343,0.0,0.0308,91.91,4.0,0.677
A Little Bit Dangerous,33.0,194640.0,0.00213,0.583,0.685,0.0,10.0,0.0475,-5.422999999999999,0.0,0.0274,89.006,4.0,0.381
A Little Less Talk And A Lot More Action,50.0,170546.0,0.282,0.755,0.8079999999999999,2.02e-06,9.0,0.11,-7.367000000000001,1.0,0.0374,124.976,4.0,0.933
A Little More,48.666666666666664,175897.66666666666,0.5454333333333333,0.4586666666666666,0.395,0.00126,5.0,0.18733333333333335,-9.866999999999999,1.0,0.041100000000000005,93.13866666666667,3.3333333333333335,0.23900000000000002
A Little Respect - 2009 Remastered Version,70.0,213986.0,0.0299,0.607,0.784,3.85e-06,0.0,0.288,-7.962999999999999,1.0,0.0258,113.804,4.0,0.622
A Long December,59.0,295066.0,0.469,0.398,0.591,0.000588,5.0,0.337,-6.925,1.0,0.0298,142.336,4.0,0.425
A Message to You and Myself,49.0,206393.0,0.965,0.737,0.201,0.24,1.0,0.101,-15.463,1.0,0.0787,119.993,4.0,0.158
A Milli,77.0,221840.0,0.0527,0.679,0.684,0.000895,6.0,0.177,-8.559,1.0,0.278,151.748,4.0,0.755
A Million,48.0,173875.0,0.501,0.912,0.295,0.000599,9.0,0.0535,-9.822,0.0,0.0607,111.552,4.0,0.8029999999999999
A Million Lights,50.0,216333.0,0.132,0.502,0.64,0.00338,7.0,0.125,-5.964,1.0,0.0257,110.034,4.0,0.125
A Minha Menina,39.0,227859.5,0.43139999999999995,0.49250000000000005,0.8695,0.0061,8.0,0.3395,-5.716000000000001,0.5,0.0887,95.145,4.0,0.6165
A New England,53.0,107949.0,0.846,0.5770000000000001,0.544,0.0,5.0,0.0816,-6.832000000000002,1.0,0.0311,83.53,4.0,0.725
A Painting in Paris,54.0,213626.0,0.0828,0.6990000000000001,0.7020000000000001,0.00147,6.0,0.0667,-7.955,0.0,0.0642,75.012,4.0,0.608
"A Petal Here, a Petal There",50.0,206493.0,0.529,0.452,0.698,0.000646,7.0,0.0687,-7.903,1.0,0.0302,141.53,4.0,0.563
A Reality,39.0,236479.0,0.00188,0.447,0.991,0.8590000000000001,1.0,0.343,-4.261,1.0,0.072,137.998,4.0,0.263
A Satisfied Mind,28.0,166040.0,0.945,0.732,0.243,3.85e-05,4.0,0.0955,-7.638,1.0,0.0299,115.14,3.0,0.4320000000000001
A Shitty Love Song,54.0,197142.0,0.946,0.763,0.146,1.44e-06,9.0,0.118,-13.375,1.0,0.0379,98.056,4.0,0.536
